"term_en","ipa","term_uz","term_ru","definition_uz","definition_ru","etymology","category","yield","is_phrase","audio_url"
"cystic lesions","/ˈsɪstɪk ˈliːʒənz/","kistoz zararlanishlar","кистозные образования","To'qimada suyuqlik bilan to'lgan bo'shliqlar ko'rinishidagi o'zgarishlar.","Патологические изменения в ткани, представляющие собой полости, заполненные жидкостью.","Greek kystis (bladder) + Latin laesio (injury).","imaging","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/bb/bb9fed53dba5611df30f1161121f970151ee827b.mp3"
"cystic mass","/ˈsɪstɪk mæs/","kistoz hosila","кистозное образование","Suyuqlik bilan to'lgan, hajmli patologik hosila.","Объемное патологическое образование, заполненное жидкостью.","Greek kystis (bladder/pouch) + Latin massa (lump).","imaging","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/8e/8e63ca6af6147129a9982fd4fa524c562c218bdc.mp3"
"cystic medial degeneration","/ˈsɪstɪk ˈmiːdiəl dɪˌdʒɛnəˈreɪʃən/","kistoz medial degeneratsiya","кистозная дегенерация медии","Arteriya devori o'rta qavatidagi silliq mushak va elastik tolalarning yo'qolishi hamda mukoid modda bilan almashishi.","Дегенеративный процесс в среднем слое артерии с накоплением мукоидного вещества и потерей эластических волокон.","Greek kystis (bladder) + Latin medius (middle) + degenerare (to depart from its kind).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/1d/1dac833cea98c7a45622d08c0fea8df9f574148a.mp3"
"cystic medial necrosis","/ˈsɪstɪk ˈmiːdiəl nəˈkroʊsɪs/","kistoz medial nekroz","кистозный медианекроз","Arteriya devorining o'rta qavatida elastik tolalarning degeneratsiyasi va kistoz bo'shliqlar hosil bo'lishi.","Дегенерация эластических волокон среднего слоя артериальной стенки с образованием кистоподобных полостей.","Greek kystis (bladder) + Latin medialis (middle) + Greek nekrosis (death).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/2c/2ca8f265573ee67856ddb941dc2ad242d24cae8f.mp3"
"cystic necrosis","/ˈsɪstɪk nəˈkroʊsɪs/","kistoz nekroz","кистозный некроз","To'qimalarning o'lishi va ularning o'rnida suyuqlik bilan to'lgan bo'shliqlar (kistalar) hosil bo'lishi.","Омертвение тканей с последующим образованием полостей (кист), заполненных жидкостью.","Greek kystis (bladder) + nekrosis (death).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e5/e504fe7930541512aa6bac6bd9f875ed5711cda5.mp3"
"cystocele","/ˈsɪstəsiːl/","tsistotsele","цистоцеле","Qovuqning qin oldingi devori orqali bo'rtib chiqishi.","Грыжевидное выпячивание мочевого пузыря через переднюю стенку влагалища.","Greek kystis (bladder) + kele (tumor/hernia).","condition","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/69/69e00d664b504432509ecb5fa72741891b5e87b2.mp3"
"cystoscopy","/sɪˈstɒskəpi/","sistoskopiya","цистоскопия","Sistoskop yordamida qovuq ichini vizual ko'rikdan o'tkazish muolajasi.","Метод исследования мочевого пузыря путем осмотра его внутренней поверхности с помощью эндоскопа.","Greek kystis (bladder) + skopein (to look at).","imaging","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/57/5794e29140de36a6ac25892b855e618ededa549c.mp3"
"cytochrome c","/ˈsaɪtəkroʊm siː/","sitoxrom c","цитохром c","Mitoxondriyadan ajralib chiqib, kaspazalarni faollashtirish orqali apoptozning ichki yo'lini boshlaydigan oqsil.","Белок, высвобождающийся из митохондрий и запускающий внутренний путь апоптоза путем активации каспаз.","Greek kytos (cell) + chroma (color), referring to its role as a pigmented cellular protein.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/15/15f183acdb11764eecc16e2290c1b6aad2b90074.mp3"
"cytochrome c oxidase","/ˈsaɪtəkroʊm siː ˈɒksɪdeɪz/","sitoxrom c oksidaza","цитохром-с-оксидаза","Elektron transport zanjirining oxirgi fermenti bo'lib, u kislorodni suvga aylantiradi va sianid tomonidan bloklanadi.","Последний фермент в цепи переноса электронов, который восстанавливает кислород до воды и блокируется цианидом.","Greek kytos (cell) + chroma (color) + oxys (sharp/acid) + -ase (enzyme).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/24/24f254c75101d5be59f48a94c86a6a23b3986af8.mp3"
"cytochrome c release","/ˈsaɪtəkroʊm siː rɪˈliːs/","sitoxrom c ajralishi","высвобождение цитохрома c","Apoptozning ichki yo'li davomida mitoxondriyadan sitoplazmaga oqsilning chiqishi, bu kaspazalarni faollashtiradi.","Выход белка из межмембранного пространства митохондрий в цитоплазму, инициирующий каскад каспаз при апоптозе.","Greek kytos (cell) + chroma (color) + Latin relaxare (to loosen).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/db/db47f5265a7d8e967ac451a2d068b0557a7d2d7d.mp3"
"cytochrome P-450","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti/","sitoxrom P-450","цитохром P-450","Jigarda dori vositalari va endogen birikmalarning oksidlanishini katalizlovchi gemoproteinlar oilasi.","Семейство гемопротеинов в печени, катализирующих окисление лекарственных средств и эндогенных соединений.","Greek kytos (cell) + chroma (color) + P (pigment) + 450 (absorption peak at 450 nm).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/70/70174357935e4ad8a6c6e855183e24c5e953491a.mp3"
"cytochrome P-450 activity","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti ækˈtɪvɪti/","sitoxrom P-450 faolligi","активность цитохрома P-450","Jigarda dori vositalarining metabolizmi uchun mas'ul bo'lgan fermentlar tizimining ishlash darajasi.","Уровень функционирования ферментативной системы печени, отвечающей за метаболизм лекарственных веществ.","Greek kytos (cell) + chroma (color) + Latin activitas.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d2/d2dc5079b0703e78de323e37c869ef841e7e2cbc.mp3"
"cytochrome P-450 inducers","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti ɪnˈdjuːsərz/","sitoxrom P-450 induktorlari","индукторы цитохрома P-450","Jigar fermentlari faolligini oshirib, dori metabolizmini tezlashtiruvchi moddalar.","Вещества, повышающие активность ферментов печени и ускоряющие метаболизм лекарств.","Greek kytos (cell) + chroma (color) + Latin inducere (to lead in).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/54/5486954fbe9c793af1cc67f0c1eccb6b5ce313fc.mp3"
"cytochrome P450","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti/","sitoxrom P450","цитохром P450","Jigarda dori vositalari metabolizmi uchun mas'ul bo'lgan fermentlar guruhi.","Группа ферментов печени, ответственных за метаболизм лекарственных веществ.","Greek kytos (cell) + chroma (color). The 450 refers to the absorption peak in nanometers.","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/50/5017bf26054136eb48771c32b49120010648ab1b.mp3"
"cytochrome P450 inducer","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti ɪnˈdjuːsər/","Sitoxrom P450 induktori","индуктор цитохрома P450","Jigar fermentlari faolligini oshirib, boshqa dorilarning metabolizmini tezlashtiradigan modda.","Вещество, повышающее активность ферментов печени и ускоряющее метаболизм других лекарств.","Greek kytos (cell) + khroma (color) + Latin inducere (to lead in).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f3/f3ac338fb1b20bf6c96710ea62086d1bab2b993e.mp3"
"cytochrome P450 inhibitor","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti ɪnˈhɪbɪtər/","Sitoxrom P450 ingibitori","ингибитор цитохрома P450","Jigar fermentlari faolligini pasaytirib, boshqa dorilarning metabolizmini sekinlashtiradigan modda.","Вещество, снижающее активность ферментов печени и замедляющее метаболизм других лекарств.","Greek kytos (cell) + chroma (color) + Latin inhibere (to restrain).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a6/a68be2162e49468aee9cfb9a1e7177272202d0ad.mp3"
"cytochrome p450 system","/ˈsaɪtəkroʊm piː fɔːr ˈfɪfti ˈsɪstəm/","sitoxrom P450 tizimi","система цитохрома P450","Jigarda dori vositalari va toksinlar metabolizmi uchun mas'ul bo'lgan fermentlar guruhi.","Группа ферментов печени, участвующих в метаболизме большинства лекарственных препаратов.","Greek kytos (cell) + chroma (color) + P450 (pigment with absorption peak at 450 nm).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/09/0960eb56da372b716cf140d85e1bd85e2b5cfa8b.mp3"
"cytogenetic analysis","/ˌsaɪtoʊdʒəˈnɛtɪk əˈnæləsɪs/","sitogenetik tahlil (kariotiplash)","цитогенетический анализ (кариотипирование)","Xromosomalarning soni va tuzilishini mikroskop ostida o'rganish.","Изучение количества и структуры хромосом под микроскопом.","Greek kytos (cell) + genesis (origin) + ana- (up) + lysis (loosening).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a0/a02b8abb6b1c6ebda3369b7baeb4a3e36f33c399.mp3"
"cytogenetic studies","/ˌsaɪtoʊdʒəˈnɛtɪk ˈstʌdiz/","sitogenetik tekshiruvlar","цитогенетические исследования","Xromosomalarning tuzilishi va sonini o'rganuvchi laboratoriya tahlillari.","Лабораторные исследования структуры и количества хромосом в клетках.","Greek kytos (cell) + genesis (origin).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ea/ea76bce7bb74ed2b1c47b245aed58be532a2dfb0.mp3"
"cytokeratin","/ˌsaɪtoʊˈkɛrətɪn/","sitokeratin","цитокератин","Epiteliya hujayralarining sitoskeletini tashkil etuvchi oraliq filament oqsillari.","Белки промежуточных филаментов, формирующие цитоскелет эпителиальных клеток.","Greek kytos (cell) + keras (horn).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/3c/3c10690d3f5e8dc61639ba77f11ae841b9d16e5c.mp3"
"cytokine receptors","/ˈsaɪtəkaɪn rɪˈsɛptərz/","sitokin retseptorlari","рецепторы цитокинов","Hujayra yuzasidagi sitokinlar bilan bog'lanib, immun javob signallarini uzatuvchi oqsillar.","Белки на поверхности клеток, которые связываются с цитокинами и передают сигналы для иммунного ответа.","Greek kytos (cell) + kinesis (movement) + Latin recipere (to receive).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/cb/cbeca1f92edf6364f96effda0176ff8768b49ffa.mp3"
"cytokine release","/ˈsaɪtəkaɪn rɪˈliːs/","sitokinlar ajralishi","высвобождение цитокинов","Leykotsitlar tomonidan yallig'lanish signallarini beruvchi oqsillarning qon oqimiga chiqarilishi.","Процесс выделения лейкоцитами белков-медиаторов воспаления в кровоток.","Greek kytos (cell) + kinesis (movement).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/3a/3aaefe432d0a8101cc94868eefd9d35a5311387b.mp3"
"cytokine storm","/ˈsaɪtəkaɪn stɔːrm/","sitokin bo'roni","цитокиновый шторм","Yallig'lanish sitokinlarining haddan tashqari ko'p ajralishi natijasida yuzaga keladigan hayotga xavfli tizimli yallig'lanish reaksiyasi.","Потенциально летальная системная воспалительная реакция, вызванная избыточным выбросом провоспалительных цитокинов.","Greek kytos (cell) + kinesis (movement) + English storm.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/48/48640ed6cc330b9e54dcedbaad10a928bb59d7a2.mp3"
"cytologic atypia","/ˌsaɪtəˈlɒdʒɪk eɪˈtɪpiə/","sitologik atipiya","цитологическая атипия","Hujayralarning tuzilishi va shaklining normal holatdan og'ishi, ko'pincha xavfli o'smalarda kuzatiladi.","Отклонение строения и формы клеток от нормы, часто указывающее на злокачественность.","Greek kytos (cell) + logos (study) + a- (without) + typos (type).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/28/289f903c6babbc1b876a952ab6f49ac9a0540048.mp3"
"cytopathic changes","/ˌsaɪtəˈpæθɪk ˈtʃeɪndʒɪz/","sitopatik o'zgarishlar","цитопатические изменения","Virusli infeksiya natijasida hujayra tuzilishida ko'rinadigan morfologik shikastlanishlar.","Морфологические повреждения структуры клетки, возникающие в результате вирусной инфекции.","Greek kytos (cell) + pathos (suffering/disease).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/8c/8c9a22134f92aeabd39e4849b9bab65cbcad3f15.mp3"
"cytopathic effect","/ˌsaɪtəˈpæθɪk ɪˈfɛkt/","sitopatik effekt","цитопатическое действие","Virusning hujayra ichida ko'payishi natijasida hujayraning bevosita shikastlanishi yoki o'lishi.","Прямое повреждение или гибель клетки в результате репликации вируса внутри неё.","Greek kytos (cell) + pathos (suffering/disease).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f6/f6cc70547bbd5df3243e63a85c54a7ffce779d34.mp3"
"cytopathic effects","/ˌsaɪtoʊˈpæθɪk ɪˈfɛkts/","sitopatik effektlar","цитопатическое действие","Virusli infeksiya natijasida xost hujayralarida yuzaga keladigan xarakterli tarkibiy va morfologik o'zgarishlar.","Характерные структурные изменения в клетках-хозяевах, возникающие в результате вирусной инфекции.","Greek kytos (cell) + pathos (suffering/disease).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c3/c3c874b633b648d5d9d30bddf114f2558a2a3484.mp3"
"cytoplasmic inclusion bodies","/ˌsaɪtəˈplæzmɪk ɪnˈkluːʒən ˈbɒdiz/","sitoplazmatik kiritmalar (tanachalar)","цитоплазматические включения","Hujayra sitoplazmasida to'planib qolgan virusli zarralar yoki oqsillar to'plami.","Скопления вирусных частиц или белков, обнаруживаемые в цитоплазме клеток при гистологическом исследовании.","Greek kytos (cell) + plasma (thing formed) + Latin inclusio (confinement).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5d/5dfc5ab4769f816ece9889a31c5f7bc360dd6a8d.mp3"
"cytoplasmic projections","/ˌsaɪtəˈplæzmɪk prəˈdʒɛkʃənz/","sitoplazmatik o'simtalar","цитоплазматические выросты","Hujayra yuzasidan chiqib turgan sochga o'xshash ingichka sitoplazma qismlari.","Тонкие волосовидные выросты цитоплазмы, выступающие из поверхности клетки.","Greek kytos (cell) + plasma (thing formed) + Latin projectio (throwing forward).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/81/8195b0d01d0f53784336a2982d4cb6f35d570e09.mp3"
"cytoplasmic vacuoles","/ˌsaɪtəˈplæzmɪk ˈvækjuːoʊlz/","sitoplazmatik vakuolalar","цитоплазматические вакуоли","Hujayra sitoplazmasidagi suyuqlik yoki lipidlar bilan to'ldirilgan kichik bo'shliqlar.","Небольшие полости в цитоплазме клетки, заполненные жидкостью или липидами.","Greek kytos (cell) + plasma (thing formed) + Latin vacuus (empty).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/08/08da1642d5cbcb88c9ad67f7de99eb91b22085a7.mp3"
"cytoplasmic vacuolization","/ˌsaɪtəˈplæzmɪk ˌvækjuələˈzeɪʃən/","sitoplazmatik vakuolizatsiya","цитоплазматическая вакуолизация","Hujayra sitoplazmasida bo'shliqlar (vakuolalar) hosil bo'lishi, ko'pincha koilotsitozda kuzatiladi.","Образование пустых пространств (вакуолей) в цитоплазме клетки, характерное для койлоцитоза.","Greek kytos (cell) + plasma (form) + Latin vacuus (empty).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/87/873c3adf0276b6ad899046229c4b8153f1e8e167.mp3"
"cytosine deamination","/ˈsaɪtəˌsiːn diːˌæmɪˈneɪʃən/","sitozin deaminatsiyasi","дезаминирование цитозина","Sitozin molekulasidan amin guruhining ajralib chiqishi natijasida uning uratsilga aylanishi.","Процесс удаления аминогруппы из молекулы цитозина, превращающий её в урацил.","Cytosine (from Greek kytos, cell) + Latin de- (away) + amine.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f3/f3782604efbae169d79ff3970489e3fbd558bfd6.mp3"
"cytoskeleton integrity","/ˌsaɪtoʊˈskɛlɪtən ɪnˈtɛɡrɪti/","tsitoskelet butunligi","целостность цитоскелета","Hujayra shakli va ichki tuzilishini saqlaydigan oqsil tolalarining normal holati.","Нормальное состояние белковых нитей, поддерживающих форму и внутреннюю структуру клетки.","Greek kytos (cell) + skeleton (dried body) + Latin integritas (wholeness).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f3/f367686511e603b495a4a1b03f50be971f8a19d5.mp3"
"cytoskeleton regulation","/ˌsaɪtoʊˈskɛlɪtən ˌrɛɡjʊˈleɪʃən/","tsitoskelet regulyatsiyasi","регуляция цитоскелета","Hujayra shakli, harakati va signal uzatilishini ta'minlovchi oqsil karkasining boshqarilishi.","Процесс управления белковым каркасом клетки, обеспечивающим ее форму, движение и передачу сигналов.","Greek kytos (cell) + skeleton (dried body) + Latin regula (rule).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d5/d59be06cf224d955064fb39d863ad6f3d5ea4a72.mp3"
"cytosolic receptor","/ˌsaɪtəˈsɒlɪk rɪˈsɛptər/","sitozol retseptori","цитозольный рецептор","Hujayra sitoplazmasida joylashgan va lipidda eruvchan gormonlar bilan bog'lanadigan oqsil.","Белок, расположенный в цитоплазме клетки, который связывается с липидорастворимыми гормонами.","Greek kytos (hollow vessel) + Latin recipere (to receive).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/3c/3c480a8f94c3a14f27bf0d98f9b66a19dbf91270.mp3"
"cytotoxic CD8+ lymphocytes","/ˌsaɪtəˈtɒksɪk ˌsiːˌdiːˈeɪt ˈlɪmfəsaɪts/","sitotoksik CD8+ limfotsitlar","цитотоксические CD8+ лимфоциты","Virus bilan zararlangan yoki o'sma hujayralarini bevosita yo'q qilish xususiyatiga ega bo'lgan T-limfotsitlar turi.","Тип Т-лимфоцитов, способных напрямую уничтожать инфицированные вирусом или опухолевые клетки.","Greek kytos (cell) + toxikon (poison) + Latin lympha (water) + Greek kytos (cell).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ee/eeb8af8debba3b4038e230d8e4507211276d0830.mp3"
"cytotoxic CD8+ T lymphocytes","/ˌsaɪtəˈtɒksɪk ˌsiː diː eɪt tiː ˈlɪmfəsaɪts/","sitotoksik CD8+ T-limfotsitlar","цитотоксические CD8+ Т-лимфоциты","Antigenlarni taniydigan va zararlangan hujayralarni bevosita yo'q qiladigan immun hujayralari.","Иммунные клетки, которые распознают антигены и непосредственно уничтожают инфицированные клетки.","Greek kytos (cell) + toxikon (poison) + Latin lympha (water) + Greek kytos (cell).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/05/05c03e3e317f5239ea910365621ff5c8b1fee603.mp3"
"cytotoxic chemotherapy","/ˌsaɪtəˈtɒksɪk ˌkiːmoʊˈθɛrəpi/","sitotoksik ximioterapiya","цитотоксическая химиотерапия","Hujayralarni, ayniqsa tez bo'linadigan saraton hujayralarini o'ldirishga qaratilgan dori vositalari bilan davolash.","Лечение препаратами, которые повреждают или убивают живые клетки, особенно быстро делящиеся опухолевые клетки.","Greek kytos (cell) + toxikon (poison).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/84/84d98a93b964ad9ea142661e8336c08c4b27b915.mp3"
"cytotoxic edema","/ˌsaɪtəˈtɒksɪk ɪˈdiːmə/","sitotoksik shish","цитотоксический отек","Hujayra membranalaridagi nasoslar buzilishi natijasida hujayra ichida suyuqlik to'planishi.","Тип внутриклеточного отека, вызванный нарушением работы АТФ-зависимых насосов на мембранах нейронов.","Greek kytos (cell) + toxikon (poison) + oidema (swelling).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/fa/faea59d454ce14443068c8ca242ac330fdcb137e.mp3"
"cytotoxic T cell","/ˌsaɪtəˈtɒksɪk tiː sɛl/","sitotoksik T-limfotsit","цитотоксический Т-лимфоцит","MHC I molekulalari orqali taqdim etilgan antigenlarni taniydigan va zararlangan hujayralarni yo'q qiladigan T-limfotsit turi.","Тип Т-лимфоцитов, которые распознают антигены, представленные молекулами ГКГ I типа, и уничтожают поврежденные клетки.","Greek kytos (cell) + toxikon (poison).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e2/e27c2e1e0daaa17db8ebd98ebad50a491e92a47e.mp3"
"cytotoxic T cells","/ˌsaɪtəˈtɒksɪk tiː sɛlz/","sitotoksik T-limfotsitlar","цитотоксические Т-лимфоциты","Virus bilan zararlangan yoki o'simta hujayralarini bevosita yo'q qiladigan T-limfotsitlar turi (CD8+).","Тип Т-лимфоцитов (CD8+), ответственных за прямое уничтожение инфицированных вирусом или опухолевых клеток.","Greek kytos (cell) + toxikon (poison).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/df/df12e3d5ea94e08edc8d66f2d43145c8e379eaad.mp3"
"cytotoxic T-cell response","/ˌsaɪtəˈtɒksɪk tiː sɛl rɪˈspɒns/","sitotoksik T-hujayra javobi","цитотоксический Т-клеточный ответ","CD8+ T-limfotsitlar tomonidan boshqariladigan, virus bilan zararlangan hujayralarni bevosita yo'q qiluvchi immun javob.","Иммунный ответ, опосредованный CD8+ Т-лимфоцитами, которые напрямую уничтожают инфицированные клетки.","Greek kytos (cell) + toxikon (poison).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/39/39963c1abde9f59ecb1db766a40d84eb2cdd9fd5.mp3"
"cytotoxic T-cell–mediated epithelial injury","/ˌsaɪtəˈtɒksɪk tiː sɛl ˈmiːdieɪtɪd ˌɛpɪˈθiːliəl ˈɪndʒəri/","sitotoksik T-hujayralar orqali yuzaga keladigan epiteliy shikastlanishi","повреждение эпителия, опосредованное цитотоксическими Т-лимфоцитами","T-limfotsitlar tomonidan keratinotsitlardagi antigenlarni tanib olish natijasida epiteliyning zararlanishi.","Повреждение эпителия в результате распознавания антигенов на кератиноцитах цитотоксическими Т-лимфоцитами.","Greek kytos (cell) + toxikon (poison) + Latin mediat- (halved/middle).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/83/83d00f9f7eaf6981744db75429dbb89ad076ca53.mp3"
"cytotoxic T-cells","/ˌsaɪtəˈtɒksɪk tiː sɛlz/","sitotoksik T-limfotsitlar","цитотоксические Т-лимфоциты","Saraton hujayralarini yoki virus bilan zararlangan hujayralarni bevosita yo'q qiladigan T-limfotsitlar turi.","Тип Т-лимфоцитов, способных напрямую уничтожать поврежденные или опухолевые клетки.","Greek kytos (cell) + toxikon (poison).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0f/0fa136b0c9416fb226126fb141594c85a9f9dda6.mp3"
"cytotoxic T-lymphocytes","/ˌsaɪtəˈtɒksɪk tiː ˈlɪmfəsaɪts/","sitotoksik T-limfotsitlar","цитотоксические Т-лимфоциты","Antigenlarni taniydigan va nishon hujayralarni (masalan, virus bilan zararlangan) bevosita yo'q qiladigan immun hujayralari.","Иммунные клетки, которые распознают антигены и непосредственно уничтожают клетки-мишени, например, инфицированные вирусом.","Greek kytos (cell) + toxikon (poison) + Latin lympha (water).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0e/0eec4ef527182425d81be89595db66d1cb10cdcb.mp3"
"cytotrophoblasts and syncytiotrophoblasts","/ˌsaɪtoʊˈtrɒfəˌblæsts ænd sɪnˌsɪʃioʊˈtrɒfəˌblæsts/","sitotrofoblastlar va sinsitiotrofoblastlar","цитотрофобласты и синцитиотрофобласты","Xoriokarsinomada patologik ko'payadigan yo'ldosh trofoblast qatlamlarining ikki turi.","Два типа клеток трофобласта плаценты, которые патологически разрастаются при хориокарциноме.","Greek kytos (cell) + syn- (together) + trophos (nourishment) + blastos (germ).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a3/a33cb079940fa7d08396ee409a6e250e8884d284.mp3"
"D-alanine-D-alanine","/diː ˈæləniːn diː ˈæləniːn/","D-alanil-D-alanin","D-аланил-D-аланин","Peptidoglikan sintezining oxirgi bosqichida transpeptidaza fermenti bog'lanadigan terminal aminokislotalar ketma-ketligi.","Терминальная последовательность аминокислот в предшественнике пептидогликана, с которой связывается фермент транспептидаза.","D- (dextrorotatory isomer) + Alanine (from German Alanin, based on aldehyde).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e8/e8d6d048c70e248e15be0ae55740b7f3237861eb.mp3"
"D-dimer","/diː ˈdaɪmər/","D-dimer","D-димер","Fibrin parchalanishi natijasida hosil bo'ladigan mahsulot, trombozni inkor etish uchun ishlatiladi.","Продукт распада фибрина, маркер активного тромбообразования и фибринолиза.","Named for the two cross-linked D fragments of the fibrin protein.","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/7e/7e0445c2ef4312009bea7bc8bfc15d39c7e6f32d.mp3"
